 2.095              0.209               0.0001337              4.41e-05               F210M-comb 1177.5835410026662 66.40578346611744
 3.224514075660341  0.04966098852670919 0.00042588620865963514 2.4821124879679756e-05 binned NC  1079.9663904425247 14.989567492310364
 3.274175064187051  0.04966098852670919 0.0004489697497465799  2.4573401516371346e-05 binned NC  1081.8481208270998 14.326724379318632
 3.32383605271376   0.04966098852670964 0.0004709310017705319  2.4478252922873422e-05 binned NC  1082.2282515936436 13.806290950364406
 3.3734970412404692 0.04966098852670919 0.000440380688585741   2.435463275960617e-05  binned NC  1054.2148076785325 14.158961980872066
 3.423158029767179  0.04966098852670919 0.0004984581884558179  2.4846838565065143e-05 binned NC  1075.9731845084232 13.45407853776467
 3.472819018293888  0.04966098852670964 0.0004993125526619547  2.4750564666952623e-05 binned NC  1065.7337706178664 13.310799109663481
 3.5224800068205973 0.04966098852670919 0.00056604036616456    2.5129875858144068e-05 binned NC  1089.56759061033   12.599637123431421
 3.572140995347307  0.04966098852670919 0.0005375384213207055  2.5054933767608535e-05 binned NC  1065.145256271843  12.829934202959793
 3.621801983874016  0.04966098852670964 0.0005522566805635327  2.508694411603585e-05  binned NC  1062.7957927404636 12.608804120230824
 3.6714629724007253 0.04966098852670875 0.0005787415945280887  2.639905955078815e-05  binned NC  1064.603731624082  12.860030362997135
 3.7211239609274345 0.04966098852670964 0.0006307841839883257  2.6543628175034145e-05 binned NC  1077.7824190050906 12.29240419220725
 3.7707849494541437 0.04966098852670919 0.0006143380196973094  2.688941487542846e-05  binned NC  1062.935295528527  12.602815887217593
 3.8204459379808533 0.04966098852670919 0.0005985934719154866  2.718602232779584e-05  binned NC  1047.1930004358894 12.86206001935845
 3.8701069265075625 0.04966098852670964 0.0006625853335592685  2.837366832148949e-05  binned NC  1062.3314977118494 12.606669622794737
 3.9197679150342717 0.04966098852670919 0.0006742688852710151  2.7256475097399987e-05 binned NC  1060.274653822059  11.9921796719947
 3.92092581160414   0.05351334480600167 0.0005841911697303232  2.0868769080227784e-05 binned NC  1019.1022005788001  9.834434114656116
 3.9744391564101416 0.05351334480600212 0.0006347936768401916  2.1370648981966546e-05 binned NC  1033.900329341275   9.64110547331433
 4.027952501216143  0.05351334480600123 0.0006341656068525994  2.1683929566416272e-05 binned NC  1025.5708067323485  9.75905629791836
 4.0814658460221445 0.05351334480600212 0.0006633336519628359  2.0065313329944793e-05 binned NC  1029.8923341744812  8.804757667037439
 4.134979190828147  0.05351334480600123 0.0006493183376874712  2.2553482542633796e-05 binned NC  1014.8627360308268  9.947898151857943
 4.188492535634149  0.05351334480600212 0.0006504724131546442  2.2292014203860228e-05 binned NC  1005.2220415586609  9.750424725751902
 4.24200588044015   0.05351334480600123 0.0004792015403438292  2.4662799254147527e-05 binned NC   918.555151285409  12.484092447950294
 4.295519225246151  0.05351334480600212 0.0004042880890357686  2.5507269077428875e-05 binned NC   864.1187297317754 13.773509657841243
 4.349032570052153  0.05351334480600123 0.00040163266736841207 2.3784596600249148e-05 binned NC   848.6595572805854 12.630947536230591
 4.402545914858155  0.05351334480600212 0.0004965058301962983  2.7636566058214405e-05 binned NC   882.1394009562638 12.9277788313114
 4.456059259664157  0.05351334480600123 0.0005245905783490314  2.8119279142631132e-05 binned NC   883.525729910531  12.623916013554938
 4.509572604470158  0.05351334480600212 0.0005770020073096419  2.6813259596522375e-05 binned NC   897.006558611925  11.385056186054623
 4.56308594927616   0.05351334480600123 0.0007437492625558285  3.146609814177246e-05  binned NC   955.424426546712  11.796584871496458
 4.616599294082162  0.05351334480600212 0.0007488547530487011  3.114956871120445e-05  binned NC   950.3788955065158 11.60130548370171
 4.670112638888163  0.05351334480600123 0.000767210569820463   2.9909133994326188e-05 binned NC   953.1843772778337 11.042984768683331
 4.7236259836941645 0.05351334480600212 0.0008155163942906393  3.3055514228536144e-05 binned NC   966.2047581720725 11.892093446099798
 4.777139328500167  0.05351334480600123 0.0008324219326299147  3.451729331801589e-05  binned NC   965.8111796115159 12.274581903397968
 4.830652673306169  0.05351334480600212 0.0007153533924528255  3.235243001963544e-05  binned NC   919.3005236679801 12.329940818053034
 4.88416601811217   0.05351334480600212 0.0007201439998278703  3.711441945249159e-05  binned NC   914.4845104408853 14.047124887084022
 4.937679362918172  0.05351334480600123 0.0008189932834412912  3.664631114358161e-05  binned NC   943.6520707413999 13.05070581795659
 5.125              0.25                0.000934               9.1e-05                LRS         965.2266408103701 30.56953683421426
