# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: fp_value, datatype: float64}
# - {name: fp_errorneg, datatype: float64}
# - {name: fp_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width fp_value fp_errorneg fp_errorpos
4.1975 0.00749999999999984 0.0007397744134168 8.67831186019e-05 8.480633061899994e-05
4.2125 0.00749999999999984 0.0005030157797592 8.60676075162e-05 8.562321902789993e-05
4.2275 0.007500000000000284 0.0005942451344401 8.852373292010001e-05 9.05650258257e-05
4.2425 0.00749999999999984 0.0005316713522905 8.499764593119998e-05 8.236074153270001e-05
4.2575 0.00749999999999984 0.0004529062994442 8.241953028770001e-05 8.415669033349994e-05
4.2725 0.007500000000000284 0.0005082698464986 8.068833502910004e-05 8.170734285959996e-05
4.2875 0.00749999999999984 0.0003018687139874 9.745571510580002e-05 8.87733687875e-05
4.3025 0.00749999999999984 0.0004842056564766 8.85063354574e-05 9.249011682699998e-05
4.3175 0.007500000000000284 0.0004524352553625 8.748026573890004e-05 8.718516354519994e-05
4.3325 0.00749999999999984 0.0005137956288864 8.551463901130006e-05 8.678686554409998e-05
4.3475 0.007500000000000284 0.000748864420139 8.98152491934e-05 9.473371306659996e-05
4.362500000000001 0.00749999999999984 0.000419815448956 9.656319631800003e-05 9.647187622430003e-05
4.3774999999999995 0.00749999999999984 0.0004558152669004 8.878127873829998e-05 9.193497524950003e-05
4.3925 0.007500000000000284 0.0004648698250774 8.754564817669999e-05 9.021145447350005e-05
4.407500000000001 0.00749999999999984 0.0004672292203402 0.00010250189670470004 0.00010085793667269995
4.422499999999999 0.00749999999999984 0.0008232427452673 0.00010473091246449994 9.941970212570003e-05
4.4375 0.007500000000000284 0.0007976630864218 9.93846652561001e-05 9.707261066339997e-05
4.452500000000001 0.00749999999999984 0.0007556554585267 9.580886997070004e-05 9.414374227259992e-05
4.467499999999999 0.00749999999999984 0.0007035922772942 9.99438669778e-05 0.00010102104478539996
4.4825 0.007500000000000284 0.0007320250424534 9.820372613570001e-05 9.553394874840001e-05
4.4975000000000005 0.00749999999999984 0.0008136705989136 9.706126363979994e-05 0.00010218567126940006
4.512499999999999 0.00749999999999984 0.0007060576888728 0.00011281698291050002 9.808224110640002e-05
4.5275 0.007500000000000284 0.0007291715346484 0.00012220030195990005 0.0001267623120562
4.5425 0.00749999999999984 0.000867381740821 0.00010327411531420002 0.0001069176520222
4.5575 0.007500000000000284 0.0005381793544748 9.997579289279995e-05 0.0001034828800453001
4.5725 0.00749999999999984 0.0007761652529915 0.00010753902386570003 9.955615258569993e-05
4.5875 0.00749999999999984 0.0009469539938522 0.00010757564112120002 0.00010899570191700008
4.6025 0.007500000000000284 0.000862418830112 0.00011436172753869996 0.00013695038262949997
4.6175 0.00749999999999984 0.000650203395053 0.00010174624462499994 0.00010267889048749996
4.6325 0.00749999999999984 0.0006923539822543 0.00010709872787569995 0.00010474044378060003
4.6475 0.007500000000000284 0.0008898229805806 0.00010979109779129994 0.00010413957566779994
